"Disease","Country","State","County","ADMcode","Year","NumCases","AnyCases","Longitude","Latitude","ForestProportion","UrbanProportion","Fragmentation","BiodivIntactness","TravelTimeToHealthcare","Population","logPopulation","UnemploymentRate","MedianHouseholdIncome","Tmean_JunJul","Tmean_JanFeb","Tmean_Annual","Precip_Annual","Precip_JanFeb","Precip_JunJul"
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2000,57,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",17.9310241699219,-5.32987060546873,7.45144042968752,1174.75,78.486,122.809
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2001,66,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",19.1326080322266,-4.2674621582031,8.74568837483726,867.156,48.641,84.963
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2002,165,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",20.0517669677735,-1.03482666015623,8.92153320312502,1106.678,57.023,94.488
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2003,99,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",19.1601043701172,-8.11623229980466,7.33047129313153,1219.708,63.881,109.347
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2004,226,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",18.6656280517578,-7.73949279785154,7.85639597574872,1147.318,47.371,113.792
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2005,307,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",21.3951202392578,-5.39684143066404,8.47912495930992,1189.99,76.708,97.409
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2006,348,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",19.9967437744141,-1.7360900878906,9.23105265299481,1242.06,77.343,157.099
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2007,427,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",20.0353942871094,-4.88411560058591,8.52205047607424,1129.538,81.153,96.774
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2008,638,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",20.6774688720703,-3.33768310546873,8.52284393310549,1212.342,93.218,125.73
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2009,276,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",18.1205230712891,-6.35639038085935,7.84893697102867,1076.198,53.467,133.858
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2010,157,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",20.9650512695313,-4.39658203124998,9.1899607340495,1115.822,65.151,121.793
"Lyme disease","USA","NEW YORK","Albany (NEW YORK)","36_1",2011,364,1,-73.9737379725212,42.6001128538529,0.672986779959597,0.102076988165433,3.46545577049255,0.914670765399933,13.1410245895386,303299,12.6224743966056,4.4,"76997",20.4775787353516,-6.17052307128904,8.79618733723961,1415.034,70.358,86.36
