"Host","Virus","HostGenus","HostFamily","HostOrder","VirusGenus","VirusFamily","VirusOrder","VirusClass","VirusZoonotic","NumRecords","YearFirstRecord","YearLastRecord","DetectionSerology","DetectionGenetic","DetectionIsolation"
"antilocapra americana","alcelaphine gammaherpesvirus 1","antilocapra","antilocapridae","artiodactyla","macavirus","herpesviridae","herpesvirales","herviviricetes",FALSE,1,1996,1996,TRUE,FALSE,FALSE
"antilocapra americana","bluetongue virus","antilocapra","antilocapridae","artiodactyla","orbivirus","sedoreoviridae","reovirales","resentoviricetes",FALSE,8,1982,2016,TRUE,TRUE,TRUE
"antilocapra americana","bovine alphaherpesvirus 1","antilocapra","antilocapridae","artiodactyla","varicellovirus","herpesviridae","herpesvirales","herviviricetes",FALSE,3,1975,2013,TRUE,FALSE,TRUE
"antilocapra americana","bovine orthopneumovirus","antilocapra","antilocapridae","artiodactyla","orthopneumovirus","pneumoviridae","mononegavirales","monjiviricetes",FALSE,3,1986,2006,TRUE,FALSE,FALSE
"antilocapra americana","bovine respirovirus 3","antilocapra","antilocapridae","artiodactyla","respirovirus","paramyxoviridae","mononegavirales","monjiviricetes",FALSE,3,1977,2006,TRUE,FALSE,TRUE
"antilocapra americana","epizootic hemorrhagic disease virus","antilocapra","antilocapridae","artiodactyla","orbivirus","reoviridae","reovirales","resentoviricetes",FALSE,7,1986,2006,TRUE,TRUE,FALSE
"antilocapra americana","human respirovirus 3","antilocapra","antilocapridae","artiodactyla","respirovirus","paramyxoviridae","mononegavirales","monjiviricetes",TRUE,2,1986,1999,TRUE,FALSE,FALSE
"antilocapra americana","indiana vesiculovirus","antilocapra","antilocapridae","artiodactyla","vesiculovirus","rhabdoviridae","mononegavirales","monjiviricetes",TRUE,1,1987,1987,TRUE,FALSE,FALSE
"antilocapra americana","new jersey vesiculovirus","antilocapra","antilocapridae","artiodactyla","vesiculovirus","rhabdoviridae","mononegavirales","monjiviricetes",TRUE,2,1987,1987,TRUE,FALSE,FALSE
"antilocapra americana","pestivirus a","antilocapra","antilocapridae","artiodactyla","pestivirus","flaviviridae","amarillovirales","flasuviricetes",FALSE,4,1975,2006,TRUE,FALSE,FALSE
"antilocapra americana","saint louis encephalitis virus","antilocapra","antilocapridae","artiodactyla","flavivirus","flaviviridae","amarillovirales","flasuviricetes",TRUE,1,2001,2001,TRUE,FALSE,FALSE
"balaenoptera acutorostrata","influenza a virus","balaenoptera","balaenopteridae","artiodactyla","alphainfluenzavirus","orthomyxoviridae","articulavirales","insthoviricetes",TRUE,2,1978,2006,TRUE,FALSE,TRUE
